"race_all","n_race_cats","ethnicity","race5c","n"
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: NHPI",5,"Hispanic/Latino","Hispanic",3
"What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: NHPI",4,"Hispanic/Latino","Hispanic",3
"What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: NHPI",4,"Hispanic/Latino","Hispanic",3
"What Race Ethnicity: Black,What Race Ethnicity: MENA,What Race Ethnicity: NHPI",3,"Not","Black",3
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: NHPI",4,"Not","Black",2
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: MENA,What Race Ethnicity: NHPI",4,"Not","Other/Asian",2
"What Race Ethnicity: AIAN,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: NHPI",5,"Hispanic/Latino","Hispanic",2
"What Race Ethnicity: Asian,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: NHPI,What Race Ethnicity: White",5,"Hispanic/Latino","Hispanic",2
"What Race Ethnicity: Asian,What Race Ethnicity: MENA,What Race Ethnicity: NHPI",3,"Not","Other/Asian",2
"What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: NHPI",3,"Hispanic/Latino","Hispanic",2
"What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: NHPI,What Race Ethnicity: White",4,"Hispanic/Latino","Hispanic",2
"What Race Ethnicity: AIAN,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: NHPI",4,"Hispanic/Latino","Hispanic",1
"What Race Ethnicity: AIAN,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: NHPI,What Race Ethnicity: White",5,"Hispanic/Latino","Hispanic",1
"What Race Ethnicity: AIAN,What Race Ethnicity: MENA,What Race Ethnicity: NHPI,What Race Ethnicity: White",4,"Not","Other/Asian",1
"What Race Ethnicity: Asian,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: NHPI",4,"Hispanic/Latino","Hispanic",1
